,Open,High,Low,Close,Adj Close,Volume,SMA_50,TSI_13_25_13,TSIs_13_25_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,PVI_1,NVI_1,ATRr_14,ADX_14,DMP_14,DMN_14,INC_1,DEC_1,VWMA_10,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,OBV,AD,AO_5_34,Unnamed: 0,score,log_ret
BBM_5_2.0,0.987231945738629,0.9860561553946438,0.9863136457367695,0.9842130392535197,0.9846100739027268,-0.11596150906899673,0.7683867307190074,0.5816090905421367,0.658655498680012,0.9899271267317793,1.0,0.9908427728291289,0.0012737190839431296,0.003512768450442994,0.6358715385653857,0.22215021431912768,0.10289851953125798,0.13251313662659275,0.49882593342635406,-0.18182895907450247,-0.02054393867382244,0.030859373450202256,0.9903494730593027,0.5742128687871045,-0.029673631724180076,0.6233924504961901,0.4146487276892431,0.7719006565596578,0.16888333647457793,0.47351629018464636,0.3654660373549411,0.15667206312692264,-0.03546159121644782
BBU_5_2.0,0.9791070318834447,0.9790093434469185,0.976095609372928,0.9751151727211458,0.9715485929627421,-0.05925766760709415,0.7845276025386586,0.5517322175863598,0.6391659174220758,0.9617461952768277,0.9908427728291289,1.0,0.13580325961681017,-0.01647901095720409,0.6603909047711362,0.17763419707024275,0.15606592166140704,0.1438473126445759,0.46800974554650954,-0.1564381027653688,-0.024635083727555938,0.03575348376247429,0.9868008129870912,0.5448557407318606,-0.06041250030976783,0.6024124993625716,0.37641164011027367,0.7733291274094016,0.21018861180733775,0.44375886773583406,0.3197810432393143,0.15387844928667013,-0.04543684367660173
BBB_5_2.0,0.008402435049846908,0.016553588047757528,-0.006859211222351637,0.0013220344214075616,-0.02789839192624572,0.4050480142142158,0.1821451965491865,-0.19581267689567858,-0.11260031264740593,-0.1398141263052066,0.0012737190839431296,0.13580325961681017,1.0,-0.14626649952113704,0.2247274639059579,-0.3124933775095919,0.3982959604165012,0.08487636249486002,-0.20048829155176087,0.19022243021588883,-0.03127450394834916,0.03875593266611636,0.042966251132964595,-0.19346554540170804,-0.23881012297871404,-0.12602298598800404,-0.26248316921069115,0.06664736763372554,0.3127410681862405,-0.20645702179348316,-0.30978966993274887,-0.009779545291472142,-0.07336784137886371
BBP_5_2.0,0.08676485835400725,0.10620695426142968,0.11714140218429271,0.13522975512589608,0.15647865806604028,-0.22641032685063106,-0.09808551006540751,0.1662661979304383,0.018603482590717098,0.024406308463195022,0.003512768450442994,-0.01647901095720409,-0.14626649952113704,1.0,-0.0485851677351664,0.22448779945171693,-0.18954222782153296,0.05613312522745725,0.40623935315191967,-0.43631091785622084,0.66208283368213,-0.6643940366224944,-0.04689316008045499,0.14401730270069005,0.41348735474161036,0.014221088888157927,0.5739585863450705,0.09345193842416467,-0.16232330038565246,0.14591454979822813,0.2088609235517018,0.045527976451452595,0.7134462650451524
PVI_1,0.6782897944545974,0.6829411264009321,0.6662241582095658,0.6710471947543687,0.6141085222701933,0.04041068940136037,0.8714486625891955,-0.04158727401217893,2.089332478181617e-05,0.5976507716796219,0.6358715385653857,0.6603909047711362,0.2247274639059579,-0.0485851677351664,1.0,-0.5967001993413815,0.724225343592642,5.909126858214775e-05,-0.16729081835817725,-0.1363570294963156,-0.003772519683982624,0.019655704675641202,0.655262808783833,-0.06261637752261977,-0.07688070261069396,-0.040927184399446204,-0.07359505537915811,0.5979107886301996,0.7920518038005356,-0.08645187948621254,-0.4112607942420096,0.10295663426066924,-0.03294829701407934
NVI_1,0.17450199926434143,0.17092882570838608,0.194508028056437,0.18946009506819717,0.26509175734119583,-0.2168832355021921,-0.3254373825093118,0.6763933815941089,0.674190946473995,0.26445732858768545,0.22215021431912768,0.17763419707024275,-0.3124933775095919,0.22448779945171693,-0.5967001993413815,1.0,-0.8374860774939212,0.14246447589784497,0.7912314622836272,-0.10343900707422606,0.08899501319517372,-0.09830730859002655,0.17885019221375312,0.6883085720961972,0.1486574236797998,0.685054074451138,0.6211731373670342,0.0576355740261162,-0.8460318552125093,0.6181207722488764,0.9226959743901226,0.04323976127118255,0.13480115787780295
ATRr_14,0.16239909029067645,0.16809186359096107,0.1422971795570478,0.15043408255128343,0.06458033473488006,0.18459333778792403,0.5364843419382889,-0.4428488331300783,-0.38992324954141566,0.04512460593314936,0.10289851953125798,0.15606592166140704,0.3982959604165012,-0.18954222782153296,0.724225343592642,-0.8374860774939212,1.0,-0.06851200879373505,-0.6283045268493673,-0.0502113165188508,-0.07677849874949844,0.08736903274158973,0.1406768221160978,-0.4478895935461387,-0.1877920478244284,-0.4150249009251297,-0.44308422878286974,0.20923996540190237,0.9291607492227488,-0.4330105362104995,-0.845997300543093,-0.025675483781836136,-0.08989268119862073
ADX_14,0.12446671942877917,0.12195539689170204,0.12327781577848664,0.12080040585111547,0.14327589763692236,0.1567007541387976,0.10710390656622482,0.13155582660600126,0.1398864890389249,0.11802136110164774,0.13251313662659275,0.1438473126445759,0.08487636249486002,0.05613312522745725,5.909126858214775e-05,0.14246447589784497,-0.06851200879373505,1.0,0.19956277030072198,-0.02466402271068444,-0.02673527715244275,0.020629361665429915,0.1296489994629951,0.08283046973330424,0.04062628997134415,0.07476147218694854,0.12682854815744046,0.0082748449026574,-0.16105738384570603,0.05252635876692388,0.22320073761611112,0.017725085274627843,0.03269343639707156
DMP_14,0.48914428825456224,0.48986385174338243,0.5085809097720235,0.5053982570723053,0.5674389044753738,-0.1824286676229068,-0.07705683496412778,0.8760264489784035,0.7746220881225698,0.5213243628321854,0.49882593342635406,0.46800974554650954,-0.20048829155176087,0.40623935315191967,-0.16729081835817725,0.7912314622836272,-0.6283045268493673,0.19956277030072198,1.0,-0.3806072808463645,0.17914234514448493,-0.18443784149172004,0.4321657041559855,0.8541478423420584,0.40069431572858855,0.7771005945525984,0.8868956835015412,0.3713553295998539,-0.5583212638383385,0.8250868613777486,0.8074521290397128,0.12318282383358578,0.21496072872657002
DMN_14,-0.2640491382518522,-0.2690737044896193,-0.27309640301020627,-0.2753696782833458,-0.26202868104465327,0.244285766345805,0.07549532331948625,-0.5118031857891828,-0.2927269554060237,-0.20487543788703913,-0.18182895907450247,-0.1564381027653688,0.19022243021588883,-0.43631091785622084,-0.1363570294963156,-0.10343900707422606,-0.0502113165188508,-0.02466402271068444,-0.3806072808463645,1.0,-0.21388569774937732,0.219896224465142,-0.10530558947381377,-0.46593776095189643,-0.6044180701577268,-0.2936262474849513,-0.6865714529113647,-0.3105938970846494,-0.11659641179207919,-0.5224130143420259,0.04847014998904624,-0.02252683198332399,-0.2627020481270852
INC_1,0.015177987062766988,0.04244068196255371,0.04448408795152972,0.06879023820760237,0.07825403434448261,-0.12018556907070468,-0.04632106776505934,0.0421300986710505,-0.010453163887662039,-0.015849914644752622,-0.02054393867382244,-0.024635083727555938,-0.03127450394834916,0.66208283368213,-0.003772519683982624,0.08899501319517372,-0.07677849874949844,-0.02673527715244275,0.17914234514448493,-0.21388569774937732,1.0,-0.9836878793456943,-0.033176509927470496,0.03254132051096124,0.14462016823784582,-0.014071785383534098,0.29614245122832966,0.09681623612847488,-0.06923970623316383,0.03019070567956907,0.0836806645249609,-0.014004440340638814,0.7808713312676296
DEC_1,-0.0047996453736897276,-0.03198492969121469,-0.0338822647415374,-0.057585294191334145,-0.06811231604254211,0.12205435121107,0.06012119135842364,-0.04289199682719261,0.011239720430415639,0.025120435037385105,0.030859373450202256,0.03575348376247429,0.03875593266611636,-0.6643940366224944,0.019655704675641202,-0.09830730859002655,0.08736903274158973,0.020629361665429915,-0.18443784149172004,0.219896224465142,-0.9836878793456943,1.0,0.04459169906258265,-0.034294532882913654,-0.14993275103477188,0.01399285110196113,-0.29844751790574,-0.07766650859488515,0.08042424474245843,-0.03441135032270698,-0.09103883130013873,0.022572797955438834,-0.7812201979362676
VWMA_10,0.9724191635295681,0.9718726112378053,0.9697618122809156,0.9680286544174584,0.9650008979585575,-0.08459970227007609,0.7998060773414661,0.5239648129490375,0.6436360864975382,0.974585532509997,0.9903494730593027,0.9868008129870912,0.042966251132964595,-0.04689316008045499,0.655262808783833,0.17885019221375312,0.1406768221160978,0.1296489994629951,0.4321657041559855,-0.10530558947381377,-0.033176509927470496,0.04459169906258265,1.0,0.5176920938684214,-0.14952325132493838,0.6034854306657371,0.3225298277556221,0.7557730850526538,0.20410077892860606,0.4022648272867887,0.33213704330325733,0.13694485664291697,-0.05378562514575973
MACD_12_26_9,0.5485573954626699,0.5464801214588526,0.5598356796239012,0.5562435769866292,0.5980405518540517,-0.19937576411917252,-0.07119346055237329,0.9844473734744538,0.9138609110042063,0.5936981575708501,0.5742128687871045,0.5448557407318606,-0.19346554540170804,0.14401730270069005,-0.06261637752261977,0.6883085720961972,-0.4478895935461387,0.08283046973330424,0.8541478423420584,-0.46593776095189643,0.03254132051096124,-0.034294532882913654,0.5176920938684214,1.0,0.35357557395596634,0.9488096183332465,0.8288261109728874,0.49147949919405665,-0.4230344378320202,0.9759009479245528,0.6344060855929106,0.13163210438064393,0.0543420946146795
MACDh_12_26_9,0.020938002993671545,0.021190045843154155,0.033637015035061765,0.03523372205332383,0.05602268641363548,-0.15236110894385152,-0.25976117686276484,0.3592256900067053,-0.02345589664444415,0.003141851353197018,-0.029673631724180076,-0.06041250030976783,-0.23881012297871404,0.41348735474161036,-0.07688070261069396,0.1486574236797998,-0.1877920478244284,0.04062628997134415,0.40069431572858855,-0.6044180701577268,0.14462016823784582,-0.14993275103477188,-0.14952325132493838,0.35357557395596634,1.0,0.04002928625849471,0.6568802548874251,0.07552624748950855,-0.1586529369638774,0.47914739812006174,0.0984930922659724,0.14878870305551714,0.18534326990596295
MACDs_12_26_9,0.5788978418391194,0.5765937978837289,0.5866573392318609,0.5822811203928316,0.6199089654287996,-0.16152658445279525,0.011662093981613827,0.9302885238718461,0.9841042353171335,0.633126137257996,0.6233924504961901,0.6024124993625716,-0.12602298598800404,0.014221088888157927,-0.040927184399446204,0.685054074451138,-0.4150249009251297,0.07476147218694854,0.7771005945525984,-0.2936262474849513,-0.014071785383534098,0.01399285110196113,0.6034854306657371,0.9488096183332465,0.04002928625849471,1.0,0.6635484059010491,0.49949513352976427,-0.3983137732139962,0.8806665677693619,0.6444140164274226,0.09036921840145656,-0.004580919372822235
RSI_14,0.4473197631128766,0.45298248291232296,0.47032075189062866,0.47435149284159206,0.5165813327996888,-0.28008044447252767,-0.12182427999771683,0.8547242654367293,0.6423881920428104,0.44658461314787795,0.4146487276892431,0.37641164011027367,-0.26248316921069115,0.5739585863450705,-0.07359505537915811,0.6211731373670342,-0.44308422878286974,0.12682854815744046,0.8868956835015412,-0.6865714529113647,0.29614245122832966,-0.29844751790574,0.3225298277556221,0.8288261109728874,0.6568802548874251,0.6635484059010491,1.0,0.41275104377771926,-0.38705894925596795,0.8417009244917742,0.5650326878064486,0.15312916986806047,0.3642734993907112
OBV,0.7990475821387146,0.8027075329105572,0.8013737574906254,0.8039180033496819,0.7834075889057105,-0.07591831295697686,0.5776113207531735,0.4934542513465031,0.5132847981110975,0.7552158161633409,0.7719006565596578,0.7733291274094016,0.06664736763372554,0.09345193842416467,0.5979107886301996,0.0576355740261162,0.20923996540190237,0.0082748449026574,0.3713553295998539,-0.3105938970846494,0.09681623612847488,-0.07766650859488515,0.7557730850526538,0.49147949919405665,0.07552624748950855,0.49949513352976427,0.41275104377771926,1.0,0.2014277747099635,0.44150023629571566,0.11025892257098864,0.10411917259214296,0.07379575887371895
AD,0.223522385020944,0.22851771078203917,0.2042055550895999,0.2111776467955455,0.12846221547640407,0.1500129853943705,0.5981189947529891,-0.3900301563389326,-0.36034995013797433,0.12224937911924313,0.16888333647457793,0.21018861180733775,0.3127410681862405,-0.16232330038565246,0.7920518038005356,-0.8460318552125093,0.9291607492227488,-0.16105738384570603,-0.5583212638383385,-0.11659641179207919,-0.06923970623316383,0.08042424474245843,0.20410077892860606,-0.4230344378320202,-0.1586529369638774,-0.3983137732139962,-0.38705894925596795,0.2014277747099635,1.0,-0.3989760969074437,-0.8046767181911799,-0.0493005593313417,-0.10088752582412504
AO_5_34,0.45342388557057894,0.45123804733727885,0.46431056114079317,0.46056647635806885,0.49925958914029633,-0.19081842356192963,-0.16351337618535425,0.9625377211406163,0.8322859150459218,0.49540249904275435,0.47351629018464636,0.44375886773583406,-0.20645702179348316,0.14591454979822813,-0.08645187948621254,0.6181207722488764,-0.4330105362104995,0.05252635876692388,0.8250868613777486,-0.5224130143420259,0.03019070567956907,-0.03441135032270698,0.4022648272867887,0.9759009479245528,0.47914739812006174,0.8806665677693619,0.8417009244917742,0.44150023629571566,-0.3989760969074437,1.0,0.5521163358874228,0.1416917614920153,0.05155708074511673
Unnamed: 0,0.3061462199124812,0.30116456668303093,0.3251162859705541,0.31815586692499676,0.4010326594290831,-0.19217565911434684,-0.11757459352217933,0.6285222986794902,0.6501650680532152,0.40617918685624826,0.3654660373549411,0.3197810432393143,-0.30978966993274887,0.2088609235517018,-0.4112607942420096,0.9226959743901226,-0.845997300543093,0.22320073761611112,0.8074521290397128,0.04847014998904624,0.0836806645249609,-0.09103883130013873,0.33213704330325733,0.6344060855929106,0.0984930922659724,0.6444140164274226,0.5650326878064486,0.11025892257098864,-0.8046767181911799,0.5521163358874228,1.0,0.08701164796501223,0.10737034494718088
score,0.15829550643343623,0.1608618558279787,0.16065888212449858,0.16132585265846305,0.16932121806617148,0.06582345983732771,0.09957472796431609,0.12523969434581042,0.06737113872775721,0.15651885215484274,0.15667206312692264,0.15387844928667013,-0.009779545291472142,0.045527976451452595,0.10295663426066924,0.04323976127118255,-0.025675483781836136,0.017725085274627843,0.12318282383358578,-0.02252683198332399,-0.014004440340638814,0.022572797955438834,0.13694485664291697,0.13163210438064393,0.14878870305551714,0.09036921840145656,0.15312916986806047,0.10411917259214296,-0.0493005593313417,0.1416917614920153,0.08701164796501223,1.0,0.028089259857005434
log_ret,0.011525915804554197,0.04460259805882587,0.048599930237242406,0.07990527006349508,0.09068786708181775,-0.15475349810881012,-0.08008492013572677,0.06691137520521061,0.003294242517225056,-0.024287164849269207,-0.03546159121644782,-0.04543684367660173,-0.07336784137886371,0.7134462650451524,-0.03294829701407934,0.13480115787780295,-0.08989268119862073,0.03269343639707156,0.21496072872657002,-0.2627020481270852,0.7808713312676296,-0.7812201979362676,-0.05378562514575973,0.0543420946146795,0.18534326990596295,-0.004580919372822235,0.3642734993907112,0.07379575887371895,-0.10088752582412504,0.05155708074511673,0.10737034494718088,0.028089259857005434,1.0
