,Open,High,Low,Close,Adj Close,Volume,SMA_50,TSI_13_25_13,TSIs_13_25_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,PVI_1,NVI_1,ATRr_14,ADX_14,DMP_14,DMN_14,INC_1,DEC_1,VWMA_10,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,OBV,AD,AO_5_34,bv,totalasset,roe,roa,eps,shares,ebitda,debt,dps,debt/asset,ev/ebitda,p/e,Unnamed: 0,score,log_ret
BBM_5_2.0,0.98777819109715,0.9884028589793784,0.9858179940211019,0.9840818478419084,0.9840818478419084,0.08880079288958535,0.7736993804382182,0.7778740587830587,0.9148747740689228,0.9914414771000849,1.0,0.9934193201718143,0.12615349136326573,-0.03070089962824633,0.6653246566178455,0.9441547253858251,0.7661284335659984,0.7977822341654832,0.5083568239364239,-0.4331098587269362,-0.0051751868177054225,0.005175186817705383,0.9891640240967431,0.8381083403960872,-0.09926717182405714,0.9268476941600106,0.5204066987365905,0.9833080182190346,0.9536888765297294,0.725192202306028,0.257758029256912,0.2577580292569135,-0.25775802925691205,-0.2577580292569126,0.2577580292569165,0.2577580292569357,0.257758029256908,-0.2577580292569119,-0.257758029256912,-0.25775802925691293,0.9813474491118794,0.9804253914099584,0.8389638885752863,0.40116399317812096,-0.045709399010299
BBU_5_2.0,0.9807224342630073,0.9824652707922997,0.9777670999594297,0.9777713689061832,0.9777713689061832,0.1430799769155587,0.7532825314637357,0.7902449729979064,0.9182999954941741,0.9699644775661806,0.9934193201718143,1.0,0.23675463205096872,-0.024496571982748665,0.6619978717312455,0.9386063455555386,0.7675589149993726,0.8073443233561303,0.5304497749434239,-0.43466347714516973,-0.006338268406081019,0.006338268406081014,0.9796652156972383,0.847243968536699,-0.0795081997169159,0.930052221038647,0.5325264197599873,0.9791412268516994,0.9526391349776542,0.7406991131604903,0.2710536226915031,0.27105362269150446,-0.271053622691503,-0.2710536226915037,0.2710536226915073,0.27105362269152505,0.27105362269149924,-0.271053622691503,-0.27105362269150307,-0.2710536226915039,0.9741685408699573,0.9730786850133545,0.8344058399854497,0.38856908609743596,-0.04544836228451915
BBB_5_2.0,0.11996522221448855,0.12936014909572152,0.11273278904383897,0.127398928138395,0.127398928138395,0.47991171321882276,-0.0229845387726494,0.24722182596009584,0.19535317951412562,-0.0019414064632826808,0.12615349136326573,0.23675463205096872,1.0,0.06028654948987018,0.10506734492544627,0.12193929764126245,0.14394077684545764,0.21724614941452428,0.2812057147122987,-0.08226702689318982,-0.011924512716548687,0.011924512716548659,0.10158855520105438,0.22676605410492592,0.14383696592986175,0.19427583881255267,0.2026146134929683,0.14423167689579272,0.16995854864401974,0.25914648373302007,0.17277237105269252,0.17277237105269272,-0.17277237105269258,-0.1727723710526926,0.17277237105269244,0.17277237105268556,0.17277237105269302,-0.17277237105269255,-0.17277237105269272,-0.1727723710526926,0.11879554443459309,0.11705871755555089,0.11727049293422158,-0.021860797575949373,-0.00637261080804124
BBP_5_2.0,0.05214837934218604,0.08336625064628009,0.0968046339576163,0.12758050256216877,0.12758050256216877,0.0659075027831234,-0.27384468118695837,0.233915337246019,0.044897323613925386,-0.037279873145419196,-0.03070089962824633,-0.024496571982748665,0.06028654948987018,1.0,0.21130617002016788,0.06830294594922737,-0.1887074138136304,0.18018769498130202,0.49622175124316914,-0.5308370355349469,0.6439793876597102,-0.6439793876597104,-0.07533351720762514,0.1929838315313111,0.4604214588127087,0.053451513662072354,0.5716918009474256,0.09041354261829011,0.1209079533487997,0.20339102465795184,-0.11139181943583157,-0.11139181943583161,0.11139181943583186,0.11139181943583157,-0.11139181943583254,-0.11139181943589689,-0.11139181943583248,0.11139181943583151,0.1113918194358318,0.11139181943583167,0.13594637386871378,0.1375366372365553,-0.002496520093686331,0.2613578498985747,0.727990367401748
PVI_1,0.6904953089762238,0.6954386825450146,0.6950716163031375,0.7033379361060642,0.7033379361060642,0.25582581557641126,0.32271405693965843,0.7633312323354828,0.7007857664969533,0.6584319017448378,0.6653246566178455,0.6619978717312455,0.10506734492544627,0.21130617002016788,1.0,0.443783522840846,0.49164234703467347,0.45777965606999377,0.6747835406686815,-0.599653424149069,0.051676038261730006,-0.05167603826173006,0.6141339953851292,0.7528976148406457,0.309063522455198,0.7007977689042763,0.6937347645346321,0.6909878274870629,0.5616611307108371,0.6993056512108894,0.06889060929107568,0.06889060929107707,-0.06889060929107596,-0.06889060929107665,0.06889060929107725,0.06889060929108608,0.0688906092910742,-0.06889060929107602,-0.06889060929107632,-0.06889060929107674,0.7085064322932324,0.7092439934569639,0.3178291302855906,0.23891361307791228,0.10257118593941304
NVI_1,0.9417471231884487,0.9467597107249447,0.9466986498668206,0.9468873483916312,0.9468873483916312,0.014044026832995077,0.7556822035621268,0.7007575814092136,0.8385478128466476,0.9353163817862993,0.9441547253858251,0.9386063455555386,0.12193929764126245,0.06830294594922737,0.443783522840846,1.0,0.6819464225730104,0.8261674711799303,0.47514047112361163,-0.4235646959756111,0.102290460265126,-0.10229046026512602,0.9402057886373206,0.7644095681691423,-0.11945522970270749,0.8549172265788937,0.49572443924297055,0.9402404429024032,0.9705487123292903,0.6564521214615849,0.2874169193627569,0.2874169193627581,-0.28741691936275676,-0.28741691936275726,0.2874169193627616,0.2874169193627621,0.28741691936275254,-0.2874169193627567,-0.28741691936275676,-0.2874169193627577,0.9418323536165983,0.9404698831463424,0.9179021054494223,0.48471601736577263,0.06110815012077074
ATRr_14,0.7340696793036058,0.7327714423114325,0.7235210397226045,0.720731606529461,0.720731606529461,0.08373997087737357,0.6346081366816102,0.48769796980846597,0.7783638694883372,0.7521942384243318,0.7661284335659984,0.7675589149993726,0.14394077684545764,-0.1887074138136304,0.49164234703467347,0.6819464225730104,1.0,0.5044814048284304,0.12659096304922493,-0.014755657376412925,-0.11252988509316535,0.11252988509316535,0.8014939718629591,0.5555343398337867,-0.47661430009974937,0.7503348337761604,0.14651901563998457,0.775568725297551,0.6288755940688319,0.37966101292179166,-0.21113761868719302,-0.2111376186871918,0.2111376186871927,0.21113761868719216,-0.2111376186871886,-0.21113761868713102,-0.21113761868719574,0.21113761868719283,0.21113761868719286,0.21113761868719158,0.7423702261038381,0.7463302627759917,0.4109980855468343,0.13016689642589122,-0.14797638710095493
ADX_14,0.811763038870027,0.8232507303385838,0.8156702281399376,0.823575764936576,0.823575764936576,0.3339587654611874,0.346968937281952,0.8613091561864903,0.875845034542417,0.7740708645848974,0.7977822341654832,0.8073443233561303,0.21724614941452428,0.18018769498130202,0.45777965606999377,0.8261674711799303,0.5044814048284304,1.0,0.6776050402189954,-0.633533673144614,0.13410863218228136,-0.1341086321822814,0.7497781544019726,0.8969700479244744,0.21160248734261497,0.8867360560163388,0.6935446185185747,0.7823664321810876,0.8783945403082476,0.8691185617046144,0.2962046350332653,0.29620463503326616,-0.2962046350332651,-0.2962046350332658,0.296204635033268,0.296204635033218,0.2962046350332613,-0.2962046350332654,-0.29620463503326505,-0.29620463503326594,0.8163212626497619,0.814575893496205,0.7259049409929781,0.41825568866738233,0.08513980099423053
DMP_14,0.5772370511181254,0.5948853848039453,0.5871576527786219,0.6019863881090558,0.6019863881090558,0.49106278934607944,-0.0375434912882866,0.8750284096070376,0.6151161935123725,0.4750101606310326,0.5083568239364239,0.5304497749434239,0.2812057147122987,0.49622175124316914,0.6747835406686815,0.47514047112361163,0.12659096304922493,0.6776050402189954,1.0,-0.9264053168795527,0.26132685142627676,-0.2613268514262769,0.4060631522546369,0.8268715725152082,0.7391777181985164,0.6373360041095221,0.9749927502503596,0.5400967836783526,0.5822971026492701,0.8763477204479156,0.18729910361238414,0.18729910361238525,-0.18729910361238408,-0.18729910361238475,0.18729910361238442,0.18729910361229452,0.18729910361238225,-0.18729910361238436,-0.18729910361238414,-0.18729910361238458,0.5986190960593221,0.5977227921219456,0.42256111612781977,0.45474844808325454,0.28520446471445615
DMN_14,-0.5097606702768884,-0.5261238909104977,-0.5257248933912502,-0.5372581497546157,-0.5372581497546157,-0.34303453327398753,0.10292357014192817,-0.7945061196139731,-0.5266275452962643,-0.4243834254555698,-0.4331098587269362,-0.43466347714516973,-0.08226702689318982,-0.5308370355349469,-0.599653424149069,-0.4235646959756111,-0.014755657376412925,-0.633533673144614,-0.9264053168795527,1.0,-0.2929420105039082,0.2929420105039082,-0.32813144252166004,-0.7650609332772242,-0.7814559879480777,-0.5574099377563689,-0.9421219182659866,-0.45993686254236404,-0.5266135828497748,-0.8248572621209866,-0.18853280598724972,-0.18853280598725045,0.18853280598724936,0.1885328059872501,-0.1885328059872496,-0.1885328059871466,-0.18853280598724745,0.18853280598724975,0.18853280598724947,0.18853280598725003,-0.5331326824323881,-0.532113107350523,-0.38685592452164613,-0.4257846043147673,-0.33200948541972514
INC_1,0.013512662379787486,0.04921800154157143,0.06078401542510067,0.09618301488559143,0.09618301488559143,-0.042925982659362,-0.14340400716197305,0.1404479066767318,0.047815267050705976,-0.0037663348913444094,-0.0051751868177054225,-0.006338268406081019,-0.011924512716548687,0.6439793876597102,0.051676038261730006,0.102290460265126,-0.11252988509316535,0.13410863218228136,0.26132685142627676,-0.2929420105039082,1.0,-1.0000000000000002,-0.020288349955617957,0.12149816431132532,0.2249728863163561,0.0551330554700884,0.348986111812319,0.08800504335567169,0.11297128678168254,0.13375393930679852,-0.0354363557975092,-0.03543635579750922,0.03543635579750944,0.035436355797509436,-0.0354363557975098,-0.035436355797557904,-0.03543635579751048,0.035436355797509346,0.035436355797509596,0.03543635579750945,0.0997428334844769,0.1004030872557362,0.05660286865561129,0.22004858223558735,0.7645961078165311
DEC_1,-0.01351266237978751,-0.04921800154157141,-0.06078401542510068,-0.09618301488559143,-0.09618301488559143,0.04292598265936195,0.14340400716197302,-0.14044790667673182,-0.047815267050706045,0.0037663348913443604,0.005175186817705383,0.006338268406081014,0.011924512716548659,-0.6439793876597104,-0.05167603826173006,-0.10229046026512602,0.11252988509316535,-0.1341086321822814,-0.2613268514262769,0.2929420105039082,-1.0000000000000002,1.0,0.020288349955617933,-0.1214981643113254,-0.22497288631635612,-0.05513305547008841,-0.34898611181231903,-0.08800504335567173,-0.11297128678168258,-0.13375393930679857,0.03543635579750917,0.03543635579750918,-0.03543635579750942,-0.03543635579750944,0.03543635579750977,0.035436355797557925,0.035436355797510505,-0.03543635579750928,-0.03543635579750952,-0.035436355797509464,-0.09974283348447696,-0.10040308725573627,-0.056602868655611364,-0.22004858223558735,-0.7645961078165314
VWMA_10,0.969167972679659,0.9685941719414148,0.9674663317464325,0.9641097240219272,0.9641097240219272,0.03009044899905012,0.8299169110845565,0.7059723888323886,0.8920103984832303,0.9841057565371785,0.9891640240967431,0.9796652156972383,0.10158855520105438,-0.07533351720762514,0.6141339953851292,0.9402057886373206,0.8014939718629591,0.7497781544019726,0.4060631522546369,-0.32813144252166004,-0.020288349955617957,0.020288349955617933,1.0,0.7751556204291947,-0.2245402147467097,0.9011629696612539,0.41927184791683053,0.9725248701394713,0.9349934040631181,0.64242515982189,0.258093789958653,0.2580937899586544,-0.25809378995865306,-0.2580937899586536,0.2580937899586577,0.2580937899586905,0.258093789958649,-0.258093789958653,-0.25809378995865306,-0.25809378995865395,0.9610537594874623,0.9600764847887464,0.8354890739834329,0.375131843156867,-0.06425348738412069
MACD_12_26_9,0.8567763483214341,0.86811614171599,0.8599257044786913,0.8693702716199279,0.8693702716199279,0.4076711268765577,0.3174153112841891,0.9863740751272139,0.9398869889943398,0.8142354552289577,0.8381083403960872,0.847243968536699,0.22676605410492592,0.1929838315313111,0.7528976148406457,0.7644095681691423,0.5555343398337867,0.8969700479244744,0.8268715725152082,-0.7650609332772242,0.12149816431132532,-0.1214981643113254,0.7751556204291947,1.0,0.3502976318480745,0.9507274869756194,0.8333568098995295,0.8304553612562752,0.8518102223097811,0.973489122272632,0.21740319524702484,0.21740319524702628,-0.21740319524702492,-0.21740319524702573,0.21740319524702761,0.21740319524697657,0.21740319524702187,-0.21740319524702523,-0.21740319524702514,-0.21740319524702595,0.8675659594087276,0.8668712498187361,0.6339926141764648,0.40898311033095586,0.08279270933242824
MACDh_12_26_9,-0.02782133964589422,-0.012076221354465283,-0.020064399169133447,-0.0029520023930361588,-0.0029520023930361588,0.4443228864814044,-0.5241530031457547,0.4458796083556063,0.021153138327081315,-0.12019529241260744,-0.09926717182405714,-0.0795081997169159,0.14383696592986175,0.4604214588127087,0.309063522455198,-0.11945522970270749,-0.47661430009974937,0.21160248734261497,0.7391777181985164,-0.7814559879480777,0.2249728863163561,-0.22497288631635612,-0.2245402147467097,0.3502976318480745,1.0,0.04265361877130859,0.7279872254636143,-0.08096987005620837,0.012878630971999986,0.5153243920019134,0.1631241020494042,0.16312410204940392,-0.16312410204940392,-0.16312410204940384,0.16312410204940117,0.16312410204928615,0.16312410204940467,-0.1631241020494042,-0.16312410204940392,-0.1631241020494037,-0.012334962896061626,-0.01417352207698473,-0.03556039441232414,0.21277011641335256,0.26723518261973017
MACDs_12_26_9,0.9231118058246975,0.9299960510040267,0.9239035976833372,0.9283136802564746,0.9283136802564746,0.2877819749997939,0.5120742720728344,0.9045553531556413,0.9955533692322496,0.9083102749171561,0.9268476941600106,0.930052221038647,0.19427583881255267,0.053451513662072354,0.7007977689042763,0.8549172265788937,0.7503348337761604,0.8867360560163388,0.6373360041095221,-0.5574099377563689,0.0551330554700884,-0.05513305547008841,0.9011629696612539,0.9507274869756194,0.04265361877130859,1.0,0.6479577113416902,0.9126280270966087,0.904342845897262,0.8678250210564454,0.1779046480838481,0.1779046480838496,-0.1779046480838482,-0.17790464808384904,0.17790464808385179,0.17790464808383544,0.17790464808384457,-0.17790464808384834,-0.17790464808384826,-0.17790464808384931,0.9294948282243428,0.9293623620991878,0.6880353330676171,0.3658255245672305,0.0008142725613455294
RSI_14,0.5868188544920375,0.6085332280509765,0.6055266868907301,0.6267379959791326,0.6267379959791326,0.4206819893962096,-0.027210984861754058,0.8815346570229171,0.6327800682707164,0.49823452644511124,0.5204066987365905,0.5325264197599873,0.2026146134929683,0.5716918009474256,0.6937347645346321,0.49572443924297055,0.14651901563998457,0.6935446185185747,0.9749927502503596,-0.9421219182659866,0.348986111812319,-0.34898611181231903,0.41927184791683053,0.8333568098995295,0.7279872254636143,0.6479577113416902,1.0,0.5656158770157648,0.607603229345901,0.873094500548667,0.1451490384441697,0.14514903844417074,-0.14514903844416963,-0.14514903844417026,0.14514903844417024,0.14514903844407961,0.1451490384441676,-0.14514903844416996,-0.1451490384441697,-0.14514903844417024,0.6262425365066637,0.6258996059609507,0.41897229518967005,0.46279248454003963,0.38043615808945136
OBV,0.9856703895946841,0.9884075135305151,0.9889701810072578,0.9898851747323142,0.9898851747323142,0.07690419402445446,0.7494105476068997,0.7777170112607787,0.9056082691672146,0.9722660849818308,0.9833080182190346,0.9791412268516994,0.14423167689579272,0.09041354261829011,0.6909878274870629,0.9402404429024032,0.775568725297551,0.7823664321810876,0.5400967836783526,-0.45993686254236404,0.08800504335567169,-0.08800504335567173,0.9725248701394713,0.8304553612562752,-0.08096987005620837,0.9126280270966087,0.5656158770157648,1.0,0.9426859576939428,0.7066703613947513,0.18706828436661554,0.18706828436661693,-0.1870682843666155,-0.18706828436661613,0.1870682843666198,0.18706828436663972,0.18706828436661144,-0.18706828436661554,-0.18706828436661554,-0.18706828436661643,0.9914256235745853,0.9913394592695763,0.8047360630973374,0.4110770596968503,0.04594147938697226
AD,0.9515047146216535,0.9603641401032765,0.9596757411687648,0.9660631519231011,0.9660631519231011,0.10194546278418523,0.6927072167012482,0.7991286498982199,0.8862083265761067,0.9395696371056877,0.9536888765297294,0.9526391349776542,0.16995854864401974,0.1209079533487997,0.5616611307108371,0.9705487123292903,0.6288755940688319,0.8783945403082476,0.5822971026492701,-0.5266135828497748,0.11297128678168254,-0.11297128678168258,0.9349934040631181,0.8518102223097811,0.012878630971999986,0.904342845897262,0.607603229345901,0.9426859576939428,1.0,0.7680937712002727,0.3800249194332496,0.38002491943325084,-0.38002491943324945,-0.38002491943325006,0.3800249194332537,0.3800249194332442,0.3800249194332457,-0.38002491943324934,-0.38002491943324956,-0.38002491943325023,0.9557918262254478,0.9533990697536276,0.907083352510299,0.49038614222486177,0.08992373746654356
