,Open,High,Low,Close,Adj Close,Volume,SMA_50,TSI_13_25_13,TSIs_13_25_13,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,PVI_1,NVI_1,ATRr_14,ADX_14,DMP_14,DMN_14,INC_1,DEC_1,VWMA_10,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,OBV,AD,AO_5_34,bv,totalasset,roe,roa,eps,shares,ebitda,debt,dps,debt/asset,ev/ebitda,p/e,Unnamed: 0,score,log_ret
BBM_5_2.0,0.989982553525799,0.9898368482277642,0.9871448421626255,0.9848417325990321,0.9848417325990321,-0.6144754873538529,0.7597288179137305,0.4474890202427362,0.5082670827039713,0.9923432560872347,1.0,0.9936931421311562,-0.1575345991082641,-0.0548219484909089,0.9132543150452608,0.046632358025143296,0.597003144612408,-0.223548845356111,0.24796007786950064,-0.3384844860445549,-0.030353344908115,0.03469682022349148,0.9902423483664242,0.423241065289883,-0.04420085266195184,0.46303559760544555,0.30566074241702923,0.08627115137541409,0.037120743168627006,0.37470347600947623,-0.4509648789357219,-0.44910102035484223,0.036852330705476374,-0.041949152337377345,-0.6055785078424789,-0.668439363751987,-0.598901997593226,0.525530206291047,0.5295140994711536,0.5328433792209799,0.8754889107128764,0.828713771397866,-0.5338374622476989,0.1802319064149033,-0.04876815344202231
BBU_5_2.0,0.9822861196586747,0.9837513899662444,0.9771735780736592,0.9763151708876028,0.9763151708876028,-0.5870652950700208,0.7745866283118761,0.42333723596294415,0.48057707112375186,0.9722350055544283,0.9936931421311562,1.0,-0.05020837833288751,-0.06507229017237917,0.9052619254525963,0.025633138004042162,0.6313660517359883,-0.2082226478204914,0.23603061246001333,-0.3083480711036152,-0.032100810383820955,0.03642529708621439,0.9848658112355818,0.3937948451627901,-0.04408352687223575,0.4317718261826743,0.2846074164826423,0.057127458066363636,0.012070183605142374,0.35030342509660534,-0.4756517675034097,-0.47160628478807537,0.06889966684365526,-0.012422471000368867,-0.6305608389339108,-0.6845835125332317,-0.6247320530827556,0.5514832201875218,0.5553731492431592,0.5589645808822672,0.8851096912385985,0.8413512296895771,-0.5585000233086922,0.17205850625037183,-0.055189592603601435
BBB_5_2.0,-0.16800080967176428,-0.1541185837865679,-0.18651900930565174,-0.17415591135035324,-0.17415591135035324,0.3423963899123495,0.04445248551165861,-0.25687569147800793,-0.2970414778375457,-0.27344951052821964,-0.1575345991082641,-0.05020837833288751,1.0,-0.08959149996342076,-0.1814760347070021,-0.19962309248611093,0.22464694411765276,0.20233762839738878,-0.12200159902610695,0.3164776030791807,-0.013155879292846024,0.012834969648634337,-0.14676315765648082,-0.28871257999937955,0.006512560257948541,-0.3082573799184423,-0.2177913285074438,-0.30216562597055874,-0.2841049926900146,-0.23429319624301134,-0.19053313448625397,-0.17669265355852873,0.2978238016829659,0.28806686783093727,-0.14312800944742,-0.08049917697988325,-0.15084322665313904,0.16851929127935403,0.1670316043168695,0.16771485627994717,-0.018147245965414265,0.009967292917216673,-0.17134359783477446,-0.09458065902027746,-0.05516705661034655
BBP_5_2.0,0.019117519202071886,0.05177739628705526,0.06725761991945266,0.10159829656299807,0.10159829656299807,0.11859911545796885,-0.18008653675506758,0.21585597246698343,0.04212105370841498,-0.0427310222241127,-0.0548219484909089,-0.06507229017237917,-0.08959149996342076,1.0,0.04943034083480329,0.16743734221181558,-0.13218139099464765,0.0801999857792796,0.45233546854917717,-0.4677828411913716,0.6345420819378291,-0.6402875144993914,-0.10349618707444194,0.20354118306123814,0.4728846595050925,0.06379133815177679,0.5618979303772221,0.15148890523134712,0.18201232779177662,0.1891600859477037,0.060213874583276976,0.06375596709936941,-0.14898433091405147,-0.15667362590637712,0.0052482053936054925,0.029020412320421355,0.009170318679372716,-0.005764528541567805,-0.005465886094160171,-0.005273215656006943,0.08172994637529854,0.08028429678323222,0.0896539269650982,0.32014110035897964,0.7222521266166212
PVI_1,0.9130033077261163,0.9181449148885301,0.9165591413121263,0.9202432713629198,0.9202432713629198,-0.5798154741134177,0.6680136115611373,0.44007947029861993,0.462478526513617,0.9087209056224026,0.9132543150452608,0.9052619254525963,-0.1814760347070021,0.04943034083480329,1.0,-0.2227426337166798,0.5307422106182171,-0.3637333516566389,0.2876878685495945,-0.3642650115944616,0.021390645938521295,-0.01939167071926225,0.9007216416251761,0.43214157946780996,0.017242052063847116,0.4527175795225774,0.35130779436981885,0.015055056625496978,-0.001168527932865565,0.39012125528029623,-0.5046199488505381,-0.4977163868925571,0.05391784164583927,-0.031764807129574316,-0.645441290803566,-0.6709618646052682,-0.6379525801558533,0.5950770103746437,0.5980606066081777,0.6000404413226114,0.8765551491585432,0.8446222637455875,-0.5717467885151244,0.17237305542765582,0.0464087009176035
NVI_1,0.06583298336573883,0.05986360147760217,0.08188221996292287,0.07437467050906185,0.07437467050906185,0.14581714745617835,-0.23427061675712796,0.46247151343658205,0.4982313844194245,0.0690811494761496,0.046632358025143296,0.025633138004042162,-0.19962309248611093,0.16743734221181558,-0.2227426337166798,1.0,-0.31762936137089454,0.3086025073177285,0.40468960403157866,-0.43632043551566335,0.1216013952277414,-0.11918608247507227,0.01661783925289469,0.3871541173605634,0.05281603387762329,0.39357237877957213,0.4129250011712349,0.767399828292866,0.6904946762867241,0.31603687111208567,0.6263200521483491,0.6154606861584333,-0.5067671049703916,-0.4591105811518609,0.49551398902968063,0.44704621291776103,0.49960148165905166,-0.5751285529246272,-0.5723475143396988,-0.5679937203184303,-0.22745940978766382,-0.2761318039310991,0.6262148524210943,0.3217776402113173,0.09712405198272624
ATRr_14,0.5757271281472148,0.5905846499922538,0.5525069217242253,0.5678167761213683,0.5678167761213683,-0.4566869029600966,0.8425080095989587,-0.19264852543253685,-0.15225875248569679,0.5504354699269717,0.597003144612408,0.6313660517359883,0.22464694411765276,-0.13218139099464765,0.5307422106182171,-0.31762936137089454,1.0,-0.10877354162115302,-0.2854113504657117,0.17476328500067376,-0.052480328542582375,0.05557949235963259,0.627087307659884,-0.27972725391539555,-0.1240080503719557,-0.2567610207815305,-0.2187088041300489,-0.4881583821730495,-0.47617309454180495,-0.2625776040599036,-0.8175447149135979,-0.8034437307108259,0.6428562233180747,0.5588547955103392,-0.8281854218189386,-0.8471964786702124,-0.83647351713627,0.7850622998751656,0.7866579746398437,0.79017088210679,0.7212203477546124,0.7200531958159848,-0.867833564667413,-0.14611384970478092,-0.06879581367306492
ADX_14,-0.21473186767108274,-0.2103613721479007,-0.21399628489698605,-0.208214695284724,-0.208214695284724,0.44260700774582656,-0.2636120673225929,0.08899491570313398,0.03700881155388897,-0.23716543490934575,-0.223548845356111,-0.2082226478204914,0.20233762839738878,0.0801999857792796,-0.3637333516566389,0.3086025073177285,-0.10877354162115302,1.0,0.0962942935445924,-0.04342046115316441,0.06236448064706679,-0.06486380838810342,-0.24157409488501075,0.046880727453527116,0.12719735826261835,0.00881498884472569,0.10863083629134354,0.2468701033982025,0.17346316847533846,0.08442458862671869,0.23303807280936684,0.25435233737772855,0.1263334173045669,0.1606508600350258,0.26290186229425483,0.39383874275155584,0.2514891226345247,-0.23076601944288797,-0.233241870540598,-0.23064106114917277,-0.21363271037930012,-0.20918832958809327,0.30766364080496544,0.11469746579007152,0.04717634009632496
DMP_14,0.3086113132113269,0.31321042007668565,0.3336233857430292,0.33159272546831436,0.33159272546831436,0.2935119955312601,-0.3405140322777438,0.8932798019989191,0.6896250471822967,0.2574788159296369,0.24796007786950064,0.23603061246001333,-0.12200159902610695,0.45233546854917717,0.2876878685495945,0.40468960403157866,-0.2854113504657117,0.0962942935445924,1.0,-0.9027227616561272,0.21023256316079367,-0.2101429242454015,0.15147226825877813,0.8710622945272917,0.5941469778338504,0.7326686180164309,0.9619581486619433,0.5844179972371057,0.5596106589787945,0.877704002259333,0.2641111027633659,0.2581408321436959,-0.3878668964774332,-0.3837788503110719,0.14939693640548382,0.12284694027377925,0.15771223152005898,-0.18935079792042459,-0.18735679877986494,-0.18604227206687035,0.13768579988208732,0.10209789320117313,0.3135280974934541,0.41740065145323424,0.241269028086285
DMN_14,-0.4003851977643947,-0.40250070771054175,-0.42644728422205713,-0.4221025186328934,-0.4221025186328934,-0.09736713522487205,0.20883286604401105,-0.8556983551337085,-0.6748483489345847,-0.36673546601682583,-0.3384844860445549,-0.3083480711036152,0.3164776030791807,-0.4677828411913716,-0.3642650115944616,-0.43632043551566335,0.17476328500067376,-0.04342046115316441,-0.9027227616561272,1.0,-0.22381126818385746,0.22411847422398515,-0.247589486300303,-0.8240256288721897,-0.549376614425169,-0.6971844791094323,-0.9324906373170464,-0.5838249655030434,-0.5863963721550007,-0.8237546015455831,-0.24588421952721767,-0.24164392345366822,0.33620600836050396,0.33672381186460704,-0.09374989916205657,-0.052066473079907014,-0.0994041908315675,0.1714865449044779,0.1683050111302844,0.1642321695913153,-0.21054086689396612,-0.16559294569248023,-0.24097476602442358,-0.3939626244903704,-0.25277494245008986
INC_1,-0.021144483138346687,0.01889100812644774,0.02423158014714815,0.06632378285259215,0.06632378285259215,0.06720074241157488,-0.08143055382834716,0.10264347692281953,0.022467123285212467,-0.027985317957933898,-0.030353344908115,-0.032100810383820955,-0.013155879292846024,0.6345420819378291,0.021390645938521295,0.1216013952277414,-0.052480328542582375,0.06236448064706679,0.21023256316079367,-0.22381126818385746,1.0,-0.99451564903162,-0.04600671221393423,0.0886563231075134,0.20637670628893348,0.027656108640478898,0.31338156324292643,0.09534555722083754,0.09902318585300421,0.0779708788043482,0.024348391753438496,0.025313543945739436,-0.0809395848172396,-0.08533883770781363,-0.0006516248787675463,0.008250239273866557,0.0018128687757171698,0.002302620377323557,0.002432517392323451,0.0022407556439905984,0.04918372285590991,0.04705706978204623,0.03909145694894583,0.24488942851688542,0.758922083375107
DEC_1,0.024500517256140966,-0.015263667787643933,-0.020878112568551564,-0.06277517707315954,-0.06277517707315954,-0.06327450084394316,0.08338693296124813,-0.09816443427680359,-0.016010044034076673,0.03228627855407524,0.03469682022349148,0.03642529708621439,0.012834969648634337,-0.6402875144993914,-0.01939167071926225,-0.11918608247507227,0.05557949235963259,-0.06486380838810342,-0.2101429242454015,0.22411847422398515,-0.99451564903162,1.0,0.05085780148526527,-0.08491073177734097,-0.21097778687249302,-0.02220467829118638,-0.31287368742858573,-0.09325084842925772,-0.09544734797398031,-0.07561682845739255,-0.024701019376730797,-0.025604534122566764,0.07795329133199998,0.08177923072312579,-0.0026098303494065775,-0.011931803849312885,-0.004993204437173371,-0.0004107012233065943,-0.00048222602754532083,-0.00020950375438416965,-0.045539728982196076,-0.043482627559382855,-0.03977382277983432,-0.2384160655619044,-0.759215487329538
VWMA_10,0.9723475068633586,0.9720953244308487,0.9671288056553033,0.9651024800630887,0.9651024800630887,-0.6432012797073517,0.7984717527989182,0.37738981907738167,0.47903373526566795,0.9817033897834873,0.9902423483664242,0.9848658112355818,-0.14676315765648082,-0.10349618707444194,0.9007216416251761,0.01661783925289469,0.627087307659884,-0.24157409488501075,0.15147226825877813,-0.247589486300303,-0.04600671221393423,0.05085780148526527,1.0,0.35112015317665407,-0.16284077431194607,0.4247032445851681,0.2067722539383377,0.05192602419874144,-0.0014667263890099018,0.2898253738136947,-0.4653320528483411,-0.46448835891925166,0.06979748482001842,-0.00731855999327633,-0.607466816783843,-0.676995585455157,-0.6016195668172761,0.5271551306278659,0.5310920376457345,0.5343642712266048,0.8587269769490754,0.8118979182700966,-0.5550176265905363,0.15222444733031226,-0.06892859334750427
MACD_12_26_9,0.4521614281667164,0.4449973693822095,0.47152439288473164,0.4613218262920974,0.4613218262920974,0.14575834936202814,-0.2603693831921422,0.9666147391632139,0.8896617045808906,0.44949408178009753,0.423241065289883,0.3937948451627901,-0.28871257999937955,0.20354118306123814,0.43214157946780996,0.3871541173605634,-0.27972725391539555,0.046880727453527116,0.8710622945272917,-0.8240256288721897,0.0886563231075134,-0.08491073177734097,0.35112015317665407,1.0,0.3342294811611706,0.9529742767443821,0.8539085737202977,0.6731250299909309,0.6184026789734947,0.9745878234773866,0.2734432652802165,0.2648562350207266,-0.44932634785845693,-0.4474910140408285,0.14875663974533576,0.11104089039081778,0.15942668208327085,-0.18976645942322887,-0.18752747899611175,-0.18672684518129917,0.21784003667611151,0.17096614313074388,0.31107091642122464,0.35592449053865655,0.09018310193203799
MACDh_12_26_9,0.02312160457659467,0.03536226535055875,0.045594557501764506,0.05373336280614815,0.05373336280614815,0.19248241119776147,-0.2291071301724171,0.3184261939214167,-0.056167215405339,-0.043684595478922186,-0.04420085266195184,-0.04408352687223575,0.006512560257948541,0.4728846595050925,0.017242052063847116,0.05281603387762329,-0.1240080503719557,0.12719735826261835,0.5941469778338504,-0.549376614425169,0.20637670628893348,-0.21097778687249302,-0.16284077431194607,0.3342294811611706,1.0,0.03288885251106486,0.621887104001735,-0.015429069048032321,0.04414473816039455,0.47097025429381184,-0.04994527581611097,-0.04010164919513317,-0.09618011698214232,-0.11849961764275913,-0.10358564362806685,-0.04583498556928284,-0.09928457706395306,0.12328207738919437,0.1229443052827783,0.12244413594046623,0.12512902910603724,0.14224610502739896,-0.018808802355666062,0.1388474161920458,0.2518372359982336
MACDs_12_26_9,0.472056967165367,0.46052399585796133,0.48536428225805095,0.47192806685501565,0.47192806685501565,0.09267717565731823,-0.20243927035855713,0.9226525306551572,0.9614959239805458,0.49070943380979243,0.46303559760544555,0.4317718261826743,-0.3082573799184423,0.06379133815177679,0.4527175795225774,0.39357237877957213,-0.2567610207815305,0.00881498884472569,0.7326686180164309,-0.6971844791094323,0.027656108640478898,-0.02220467829118638,0.4247032445851681,0.9529742767443821,0.03288885251106486,1.0,0.7055584390818174,0.7187720154016205,0.6415865520010572,0.8820581275478623,0.3060306040569179,0.293759400698047,-0.4455591046395938,-0.4364361679836437,0.19105517104835937,0.13249046409239446,0.20098716979085726,-0.24087700026363593,-0.23839408041493293,-0.23738422794031744,0.19077269491681195,0.13556172129609112,0.33592089256730734,0.33279238055552846,0.014580995000022216
RSI_14,0.3671960979186435,0.37649394255247426,0.3999035020572831,0.40691840726360046,0.40691840726360046,0.19732563799682643,-0.2626473473726011,0.8880305093429981,0.6794516270712022,0.3243864105684278,0.30566074241702923,0.2846074164826423,-0.2177913285074438,0.5618979303772221,0.35130779436981885,0.4129250011712349,-0.2187088041300489,0.10863083629134354,0.9619581486619433,-0.9324906373170464,0.31338156324292643,-0.31287368742858573,0.2067722539383377,0.8539085737202977,0.621887104001735,0.7055584390818174,1.0,0.5839573203745014,0.5718355075148999,0.8538085253148546,0.21417015908072642,0.21371942856425977,-0.3989047735998771,-0.4088149505539542,0.06200746527216046,0.056919596777251696,0.0712207197894129,-0.10632113859237467,-0.10405473762331498,-0.10197270591861633,0.2320153758564535,0.19887121689282722,0.2537035260355922,0.4407010095917299,0.3574439698253992
OBV,0.10430553129906157,0.09431549573816943,0.12300032650854963,0.1123236758642977,0.1123236758642977,0.25795177806545905,-0.4038649832788969,0.7146588092342626,0.7771167303560576,0.11711188409304711,0.08627115137541409,0.057127458066363636,-0.30216562597055874,0.15148890523134712,0.015055056625496978,0.767399828292866,-0.4881583821730495,0.2468701033982025,0.5844179972371057,-0.5838249655030434,0.09534555722083754,-0.09325084842925772,0.05192602419874144,0.6731250299909309,-0.015429069048032321,0.7187720154016205,0.5839573203745014,1.0,0.939447450824085,0.5688393843250042,0.7238790244839233,0.7295470704990935,-0.59708944776399,-0.5549637144114407,0.5279711337441017,0.5739205554297093,0.531946419201638,-0.5947819999705549,-0.5926241335582986,-0.5866713840191057,-0.1708793548234361,-0.21376928118864963,0.7572053176457684,0.39211913081620015,0.08415382401456517
AD,0.0559922007302002,0.04962964682529222,0.07605818691409351,0.06930501064946283,0.06930501064946283,0.2762912837044689,-0.41105509859416095,0.6618937880301032,0.6992743220744836,0.06417082311777288,0.037120743168627006,0.012070183605142374,-0.2841049926900146,0.18201232779177662,-0.001168527932865565,0.6904946762867241,-0.47617309454180495,0.17346316847533846,0.5596106589787945,-0.5863963721550007,0.09902318585300421,-0.09544734797398031,-0.0014667263890099018,0.6184026789734947,0.04414473816039455,0.6415865520010572,0.5718355075148999,0.939447450824085,1.0,0.5266989684332318,0.7393844416325263,0.758755979680084,-0.6196070179160038,-0.5934489851244383,0.4435893736090554,0.537504794041708,0.44584450295629924,-0.5449273596929868,-0.5416849176554036,-0.5316473532842342,-0.13452002589420917,-0.16325225022463183,0.7348618395305321,0.3925671640543856,0.11033714962276206
AO_5_34,0.40494918286940135,0.3984026081008277,0.4222959406956419,0.41192538129029416,0.41192538129029416,0.18004398711509192,-0.28176151678645067,0.9330155268538396,0.7951194483642527,0.39610716063239026,0.37470347600947623,0.35030342509660534,-0.23429319624301134,0.1891600859477037,0.39012125528029623,0.31603687111208567,-0.2625776040599036,0.08442458862671869,0.877704002259333,-0.8237546015455831,0.0779708788043482,-0.07561682845739255,0.2898253738136947,0.9745878234773866,0.47097025429381184,0.8820581275478623,0.8538085253148546,0.5688393843250042,0.5266989684332318,1.0,0.21661881496809876,0.21009742259873182,-0.38894072885888187,-0.3903768664633813,0.10967923999164421,0.08372056898518664,0.11943583465263403,-0.13898556775475948,-0.1372167059402124,-0.13688186493701998,0.2119789702332488,0.1735027494953502,0.2522479195423967,0.30956392493128565,0.07875335150748948
bv,-0.44097338473822345,-0.45472605988903986,-0.4264855050457159,-0.44028224541818606,-0.44028224541818606,0.4371786214838293,-0.6836183290275599,0.26476766717303707,0.29954012195007784,-0.4171876136514645,-0.4509648789357219,-0.4756517675034097,-0.19053313448625397,0.060213874583276976,-0.5046199488505381,0.6263200521483491,-0.8175447149135979,0.23303807280936684,0.2641111027633659,-0.24588421952721767,0.024348391753438496,-0.024701019376730797,-0.4653320528483411,0.2734432652802165,-0.04994527581611097,0.3060306040569179,0.21417015908072642,0.7238790244839233,0.7393844416325263,0.21661881496809876,1.0,0.9969235658810189,-0.6795853036804904,-0.593378142055687,0.865416888951591,0.8944347983009868,0.8674310141262858,-0.919455898691034,-0.9181775139081981,-0.9132941269011787,-0.6714963520255698,-0.6921640326985194,0.9469048645241807,0.2170249654373807,0.01874678194842652
