ticker,period_ending,ttm_ebitda,ttm_ebit,ttm_revenue,ttm_roe,ttm_roa,ttm_dividend,ttm_basic_eps_per_share,ttm_diluted_eps_per_share,q_ebitda,q_ebit,q_revenue,q_roe,q_roa,q_dividend,q_basic_eps_per_share,q_diluted_eps_per_share,assets,debt,equity,debt_to_equity,shares_outstanding,bv_per_share
GM,12/31/2018,11468000,6293000,147049000,0.204,0.018,1.52,5.61,5.53,2121000,1336000,38399000,0.198,0.015,0.38,1.42,1.4,227339000,104951000,42777000,2.45,1400000000,27.76
GM,3/31/2019,13492000,7402000,145828000,0.227,0.02,1.52,6.37,6.29,3720000,1508000,34878000,0.196,0.016,0.38,1.5,1.48,233132000,108586000,44638000,2.43,1400000000,29.12
GM,6/30/2019,14332000,7896000,145128000,0.213,0.022,1.52,6.36,6.28,4245000,2700000,36060000,0.21,0.029,0.38,1.68,1.66,233737000,107994000,47089000,2.29,1400000000,30.58
GM,9/30/2019,14290000,8265000,144810000,0.199,0.023,1.52,6.21,6.14,4218000,2735000,35473000,0.193,0.029,0.38,1.62,1.6,231529000,106093000,48771000,2.18,1400000000,31.82
GM,12/31/2019,12771000,6444000,137237000,0.15,0.018,1.52,4.62,4.57,1077000,-10000,30826000,-0.016,0,0.38,-0.16,-0.17,228037000,104573000,45957000,2.28,1400000000,29.85
GM,3/31/2020,12427000,6920000,135068000,0.108,0.018,1.52,3.3,3.26,2901000,1509000,32709000,0.025,0.016,0.38,0.17,0.17,246624000,128759000,44317000,2.91,1400000000,28.65
GM,6/30/2020,8851000,3577000,115786000,0.036,0.009,1.14,1.06,1.06,476000,-836000,16778000,-0.071,-0.009,,-0.56,-0.56,237535000,128258000,43493000,2.95,1400000000,28.07
GM,9/30/2020,10806000,5623000,115793000,0.069,0.015,0.76,2.25,2.23,6260000,4868000,35480000,0.351,0.051,,2.8,2.78,239671000,118579000,48008000,2.47,1400000000,30.96
GM,12/31/2020,13653000,8559000,122485000,0.132,0.023,0.38,4.36,4.33,3924000,2926000,37518000,0.229,0.031,,1.95,1.92,235194000,111072000,49677000,2.24,1400000000,32.16
GM,3/31/2021,15928000,10864000,122250000,0.183,0.028,,6.25,6.2,5176000,3814000,32474000,0.232,0.04,,2.06,2.03,238411000,112192000,54443000,2.06,1400000000,34.53
GM,6/30/2021,20226000,15025000,139639000,0.249,0.039,,8.72,8.61,4866000,3417000,34167000,0.198,0.036,,1.92,1.9,241803000,111867000,57876000,1.93,1500000000,34.45
GM,9/30/2021,17738000,12387000,130938000,0.203,0.032,,7.56,7.47,3724000,2182000,26779000,0.161,0.023,,1.64,1.62,238557000,109928000,60321000,1.82,1500000000,36.1
GM,12/31/2021,16894000,11434000,127004000,0.172,0.03,,6.78,6.7,3080000,1973000,33584000,0.112,0.02,,1.17,1.15,244718000,110595000,65815000,1.68,1500000000,39.83
GM,3/31/2022,16012000,10246000,130509000,0.16,0.026,,6.09,6.02,4294000,2626000,35979000,0.169,0.026,,1.36,1.35,251492000,110951000,67063000,1.65,1500000000,41.4
GM,6/30/2022,16429000,10471000,132101000,0.136,0.026,,5.31,5.26,4183000,2542000,35759000,0.097,0.025,,1.14,1.14,253517000,112106000,68375000,1.64,1500000000,42.64
GM,9/30/2022,18040000,12052000,147210000,0.146,0.03,0.09,5.93,5.89,5383000,3811000,41888000,0.188,0.037,0.09,2.26,2.25,260529000,115439000,69767000,1.66,1400000000,46.62
GM,12/31/2022,17824000,11999000,156735000,0.141,0.029,0.18,6.17,6.13,2891000,1947000,43108000,0.113,0.019,0.09,1.4,1.4,264037000,115913000,72284000,1.6,1400000000,48.42
GM,3/31/2023,17766000,12038000,160741000,0.131,0.029,0.27,6.5,6.47,4236000,2665000,39985000,0.128,0.025,0.09,1.7,1.69,267004000,116831000,74232000,1.57,1400000000,49.91
GM,6/30/2023,17057000,11271000,169729000,0.14,0.027,0.36,7.21,7.17,4574000,2875000,44747000,0.134,0.026,0.09,1.83,1.83,275833000,120921000,75972000,1.59,1400000000,51.18
